"ENSG00000132975.7" "ENSG00000163106.9" "ENSG00000172236.15" "ENSG00000188626.6" "ENSG00000197253.12" "ENSG00000230453.8" "ENSG00000232431.3" "ENSG00000248334.5" "ENSG00000254369.5" "ENSG00000267453.5"
"TARGET-20-PANNHB" 1.30422705428046 5.38757454204685 6.28424368584825 -6.927145 6.18376 -4.965883 -5.636124 0.07664871 -6.927145 6.282261
"TARGET-20-PANPTM" 4.69940390935155 5.3726051986804 9.36802177433088 -6.927145 5.146145 -6.927145 -6.927145 -2.002293 -5.362333 3.853914
"TARGET-20-PANTPW" -0.266817840878108 4.99910094922292 6.99070223915677 -0.2072791 2.311308 -6.927145 -6.927145 1.928927 -2.447647 8.312376
"TARGET-20-PANUTB" 3.76047783853549 4.04994244218059 5.55723823476184 -4.947719 7.614265 -5.621653 -6.927145 -0.4948956 -5.621653 -0.2678727
"TARGET-20-PANUUA" 3.63891630269753 5.32266725645767 10.1343811733536 -3.656773 8.612767 -5.639382 -3.656773 -0.7645908 -6.927145 6.458922
"TARGET-20-PANVGE" 2.67764391445226 3.76109326772709 7.12236750344584 -6.927145 4.998089 -6.927145 -6.927145 -6.927145 -6.927145 2.09039
"TARGET-20-PAPVZK" 4.1544423394968 3.61208762032369 8.24688711517269 -6.927145 5.227186 -6.927145 -6.927145 -2.203581 -6.927145 4.542162
"TARGET-20-PAPWHS" 1.45163122143276 3.30010269002264 9.35189230884399 -3.84213 6.218716 -6.927145 -6.927145 0.2844178 -1.975634 5.912824
"TARGET-20-PAPWIU" -2.46581514395494 4.67056662427306 8.38614246331832 -6.927145 7.338626 -6.927145 -6.927145 0.9182326 -6.927145 8.214275
"TARGET-20-PAPWYK" 3.26931045278297 4.70149551011624 9.8914160956907 -5.580837 6.916886 -5.580837 -6.927145 -3.366645 -3.80397 4.500457
"TARGET-20-PAPXWI" 4.66254877259752 4.8078730813266 10.0280617860486 -6.927145 10.04312 -6.927145 -6.927145 -6.927145 -6.927145 1.268866
"TARGET-20-PARBFJ" -4.00538120569497 0.764868293105348 2.25703286430494 -3.549085 4.537707 -5.971331 -4.993941 -0.5081003 2.207244 1.000253
"TARGET-20-PARCZL" -4.91096138674003 4.46697806239308 7.71661569393871 -4.450067 7.681349 -3.820661 -5.592256 0.3888777 -4.910961 5.968411
"TARGET-20-PARMZF" 3.57133380453437 4.17209865155715 8.11698033828438 -6.927145 8.136705 -6.927145 -6.927145 -2.904844 -5.590905 -6.927145
"TARGET-20-PARPWL" 2.85766747044321 5.97654679084522 7.30156927101769 -6.927145 6.36102 -6.927145 -6.927145 -1.14215 -6.927145 5.017183
"TARGET-20-PARTAL" 3.5699457875116 4.31374060376956 5.19239009414825 -3.881444 6.00999 -4.716526 -6.927145 -0.7260063 -6.927145 -1.803304
"TARGET-20-PASHYZ" 2.78920755318031 5.20835697080477 7.71545855226702 -5.116438 7.328436 -4.675513 -6.927145 -2.713254 -6.927145 6.804855
"TARGET-20-PASPGA" 2.02905170978994 3.98286136239101 4.70123447583278 -5.34858 5.50697 -4.612897 -6.927145 -1.005857 1.371618 6.400174
"TARGET-20-PASWPT" -3.84805769796966 2.23151044868587 4.35329939469186 -3.385631 3.73459 -4.532741 -6.927145 -0.4806181 -6.927145 3.068191
"TARGET-20-PASXYG" -0.0789408258716099 3.92049329837695 5.44057056074172 -4.050311 4.801029 -4.050311 -6.927145 1.251341 -3.768209 -1.324551
